question,answer,sentiment,j,cluster_id,topic_name
Из какого вы города?,москва,neutrals,0,1,Topic_name
Из какого вы города?,москва,neutrals,1,1,Topic_name
Из какого вы города?,нововоронеж,neutrals,2,3,Topic_name
Из какого вы города?,томск,neutrals,3,0,Topic_name
Из какого вы города?,йошкар-ола,neutrals,4,0,Topic_name
Из какого вы города?,шахты,neutrals,5,0,Topic_name
Из какого вы города?,москва,neutrals,6,1,Topic_name
Из какого вы города?,королёв,positives,7,4,Topic_name
Из какого вы города?,москва,neutrals,8,1,Topic_name
Из какого вы города?,москва,neutrals,9,1,Topic_name
Из какого вы города?,москва,neutrals,10,1,Topic_name
Из какого вы города?,москва,neutrals,11,1,Topic_name
Из какого вы города?,подольск,neutrals,12,0,Topic_name
Из какого вы города?,москва,neutrals,13,1,Topic_name
Из какого вы города?,томск,neutrals,14,0,Topic_name
Из какого вы города?,москва,neutrals,15,1,Topic_name
Из какого вы города?,москва,neutrals,16,1,Topic_name
Из какого вы города?,губкин,neutrals,17,4,Topic_name
Из какого вы города?,москва,neutrals,18,1,Topic_name
Из какого вы города?,саров,neutrals,19,0,Topic_name
Из какого вы города?,иваново,neutrals,20,0,Topic_name
Из какого вы города?,челябинск,neutrals,21,0,Topic_name
Из какого вы города?,нововоронеж,neutrals,22,3,Topic_name
Из какого вы города?,тольятти,neutrals,23,0,Topic_name
Из какого вы города?,москва,neutrals,24,1,Topic_name
Из какого вы города?,москва,neutrals,25,1,Topic_name
Из какого вы города?,санкт-петербург,neutrals,26,2,Topic_name
Из какого вы города?,москва,neutrals,27,1,Topic_name
Из какого вы города?,нижний новгород,neutrals,28,3,Topic_name
Из какого вы города?,тверь,neutrals,29,0,Topic_name
Из какого вы города?,москва,neutrals,30,1,Topic_name
Из какого вы города?,спб,neutrals,31,0,Topic_name
Из какого вы города?,заречный,neutrals,32,0,Topic_name
Из какого вы города?,москва,neutrals,33,1,Topic_name
Из какого вы города?,санкт петербург,neutrals,34,2,Topic_name
Из какого вы города?,москва,neutrals,35,1,Topic_name
Из какого вы города?,москва,neutrals,36,1,Topic_name
Из какого вы города?,островец,neutrals,37,0,Topic_name
